1959,3.41,0.7,1530.1,606.3,687.4,177830,8604.285,1293.7,7274.925,2.71,8.892189,9.060016,.,..1,..2,..3,..4,-0.1678267,..5,..6,..7,..8,..9
1960,2.93,1.7,1565.4,615.4,717.4,180671,8664.368,1332.8,7376.945,1.23,8.906115,9.066975,0.0139256,0.006959,.,.,2.71,-0.1608601,-0.1678267,.,.,.,.
1961,2.38,1.0,1615.8,626.7,746.5,183691,8796.294,1373.2,7475.597,1.38,8.919399,9.082086,0.0132847,0.015111,0.0139256,0.006959,1.23,-0.1626863,-0.1608601,.,.,2.71,-0.1678267
1962,2.78,1.0,1693.7,646.5,783.4,186538,9079.651,1429.9,7665.462,1.78,8.94448,9.113791,0.0250807,0.0317059,0.0132847,0.015111,1.38,-0.1693115,-0.1626863,0.0139256,0.006959,1.23,-0.1608601
1963,3.16,1.3,1755.5,660.0,818.7,189242,9276.482,1478.7,7813.804,1.86,8.963647,9.135238,0.0191669,0.0214462,0.0250807,0.0317059,1.78,-0.1715908,-0.1693115,0.0132847,0.015111,1.38,-0.1626863
1964,3.55,1.3,1881.9,692.5,868.4,191889,9807.232,1560.9,8134.39,2.25,9.003856,9.190875,0.0402088,0.0556374,0.0191669,0.0214462,1.86,-0.1870193,-0.1715908,0.0250807,0.0317059,1.78,-0.1693115
1965,3.95,1.6,2002.2,729.3,914.6,194303,10304.52,1643.9,8460.497,2.35,9.043163,9.240338,0.0393076,0.0494633,0.0402088,0.0556374,2.25,-0.197175,-0.1870193,0.0191669,0.0214462,1.86,-0.1715908
1966,4.88,2.9,2106.6,769.2,961.0,196560,10717.34,1730.2,8802.401,1.98,9.08278,9.279618,0.0396166,0.0392799,0.0393076,0.0494633,2.35,-0.1968384,-0.197175,0.0402088,0.0556374,2.25,-0.1870193
1967,4.32,3.1,2198.4,781.4,1007.6,198712,11063.25,1789.0,9002.979,1.22,9.10531,9.311384,0.0225306,0.0317659,0.0396166,0.0392799,1.98,-0.2060738,-0.1968384,0.0393076,0.0494633,2.35,-0.197175
1968,5.34,4.2,2298.2,816.9,1059.6,200706,11450.58,1876.5,9349.496,1.14,9.143078,9.345796,0.0377674,0.0344114,0.0225306,0.0317659,1.22,-0.2027178,-0.2060738,0.0396166,0.0392799,1.98,-0.1968384
1969,6.68,5.5,2373.6,838.6,1110.8,202677,11711.25,1949.4,9618.26,1.18,9.171418,9.368305,0.0283403,0.0225096,0.0377674,0.0344114,1.14,-0.196887,-0.2027178,0.0225306,0.0317659,1.22,-0.2060738
1970,6.46,5.7,2465.6,859.1,1155.4,205052,12024.27,2014.5,9824.337,0.7600002,9.192618,9.394682,0.0212002,0.0263767,0.0283403,0.0225096,1.18,-0.2020636,-0.196887,0.0377674,0.0344114,1.14,-0.2027178
1971,4.35,4.4,2564.0,874.5,1197.9,207661,12347.05,2072.4,9979.727,-0.0500002,9.208311,9.421172,0.0156927,0.0264902,0.0212002,0.0263767,0.7600002,-0.2128611,-0.2020636,0.0283403,0.0225096,1.18,-0.196887
1972,4.07,3.2,2680.8,912.9,1262.5,209896,12772.04,2175.4,10364.18,0.8700001,9.246111,9.455013,0.0377998,0.0338411,0.0156927,0.0264902,-0.0500002,-0.2089024,-0.2128611,0.0212002,0.0263767,0.7600002,-0.2020636
1973,7.04,6.2,2869.4,942.9,1319.4,211909,13540.72,2262.3,10675.81,0.8400002,9.275736,9.513456,0.0296249,0.0584431,0.0377998,0.0338411,0.8700001,-0.2377205,-0.2089024,0.0156927,0.0264902,-0.0500002,-0.2128611
1974,7.89,11.0,2847.0,924.5,1351.2,213854,13312.82,2275.7,10641.37,-3.11,9.272505,9.496483,-0.003231,-0.0169735,0.0296249,0.0584431,0.8400002,-0.223978,-0.2377205,0.0377998,0.0338411,0.8700001,-0.2089024
1975,5.84,9.1,2895.0,938.3,1398.3,215973,13404.45,2336.6,10818.95,-3.26,9.289054,9.503343,0.0165491,0.0068598,-0.003231,-0.0169735,-3.11,-0.2142887,-0.223978,0.0296249,0.0584431,0.8400002,-0.2377205
1976,4.99,5.8,3008.0,984.8,1457.1,218035,13795.95,2441.9,11199.58,-0.8100004,9.323631,9.53213,0.0345774,0.0287876,0.0165491,0.0068598,-3.26,-0.208499,-0.2142887,-0.003231,-0.0169735,-3.11,-0.223978
1977,5.27,6.5,3105.1,1010.4,1518.2,220239,14098.78,2528.6,11481.16,-1.23,9.348463,9.553843,0.0248318,0.0217133,0.0345774,0.0287876,-0.8100004,-0.2053804,-0.208499,0.0165491,0.0068598,-3.26,-0.2142887
1978,7.22,7.6,3264.2,1045.7,1589.3,222585,14664.96,2635.0,11838.17,-0.3800001,9.379085,9.593216,0.0306215,0.0393724,0.0248318,0.0217133,-1.23,-0.2141314,-0.2053804,0.0345774,0.0287876,-0.8100004,-0.208499
1979,10.04,11.3,3353.9,1069.7,1639.8,225055,14902.58,2709.5,12039.28,-1.26,9.39593,9.609289,0.0168457,0.0160732,0.0306215,0.0393724,-0.3800001,-0.2133589,-0.2141314,0.0248318,0.0217133,-1.23,-0.2053804
1980,11.51,13.5,3373.3,1065.1,1670.7,227726,14812.98,2735.8,12013.56,-1.99,9.393791,9.603259,-0.0021391,-0.0060301,0.0168457,0.0160732,-1.26,-0.2094679,-0.2133589,0.0306215,0.0393724,-0.3800001,-0.2141314
1981,14.03,10.3,3452.3,1074.3,1696.1,229966,15012.22,2770.4,12047.0,3.73,9.396571,9.61662,0.00278,0.013361,-0.0021391,-0.0060301,-1.99,-0.2200489,-0.2094679,0.0168457,0.0160732,-1.26,-0.2133589
1982,10.69,6.2,3483.0,1080.6,1728.2,232188,15000.78,2808.8,12097.09,4.49,9.400721,9.615857,0.0041494,-0.0007629,0.00278,0.013361,3.73,-0.2151365,-0.2200489,-0.0021391,-0.0060301,-1.99,-0.2094679
1983,8.63,3.2,3579.9,1112.4,1809.0,234307,15278.67,2921.4,12468.26,5.43,9.430942,9.634213,0.030221,0.0183563,0.0041494,-0.0007629,4.49,-0.2032719,-0.2151365,0.00278,0.013361,3.73,-0.2200489
1984,9.58,4.3,3842.0,1151.8,1883.0,236348,16255.69,3034.8,12840.39,5.28,9.460351,9.696198,0.0294094,0.061985,0.030221,0.0183563,5.43,-0.2358475,-0.2032719,0.0041494,-0.0007629,4.49,-0.2151365
1985,7.48,3.6,3958.6,1178.3,1977.3,238466,16600.27,3155.6,13232.91,3.88,9.490462,9.717175,0.0301113,0.0209761,0.0294094,0.061985,5.28,-0.2267122,-0.2358475,0.030221,0.0183563,5.43,-0.2032719
1986,5.98,1.9,4087.0,1215.9,2041.4,240651,16983.1,3257.3,13535.37,4.08,9.513062,9.739974,0.0225992,0.0227995,0.0301113,0.0209761,3.88,-0.2269125,-0.2267122,0.0294094,0.061985,5.28,-0.2358475
1987,5.82,3.6,4154.1,1239.3,2126.9,242804,17108.86,3366.2,13863.86,2.22,9.537041,9.747352,0.0239792,0.0073776,0.0225992,0.0227995,4.08,-0.2103109,-0.2269125,0.0301113,0.0209761,3.88,-0.2267122
1988,6.69,4.1,4318.1,1274.4,2212.4,245021,17623.39,3486.8,14230.62,2.59,9.563151,9.776982,0.0261106,0.0296307,0.0239792,0.0073776,2.22,-0.2138309,-0.2103109,0.0225992,0.0227995,4.08,-0.2269125
1989,8.12,4.8,4403.7,1303.5,2262.3,247342,17804.09,3565.8,14416.48,3.32,9.576127,9.787184,0.0129757,0.0102015,0.0261106,0.0296307,2.59,-0.2110567,-0.2138309,0.0239792,0.0073776,2.22,-0.2103109
1990,7.51,5.4,4484.6,1316.1,2321.3,249913,17944.64,3637.4,14554.67,2.11,9.585667,9.795047,0.0095396,0.007863,0.0129757,0.0102015,3.32,-0.2093801,-0.2110567,0.0261106,0.0296307,2.59,-0.2138309
1991,5.42,4.2,4486.5,1302.9,2341.0,252650,17757.77,3643.9,14422.72,1.22,9.57656,9.784578,-0.0091066,-0.0104685,0.0095396,0.007863,2.11,-0.2080183,-0.2093801,0.0129757,0.0102015,3.32,-0.2110567
1992,3.45,3.0,4613.7,1321.8,2409.4,255419,18063.26,3731.2,14608.15,0.45,9.589335,9.801636,0.0127754,0.0170574,-0.0091066,-0.0104685,1.22,-0.2123003,-0.2080183,0.0095396,0.007863,2.11,-0.2093801
1993,3.02,3.0,4666.9,1348.8,2466.7,258137,18079.16,3815.5,14780.91,0.02,9.601091,9.802515,0.0117559,0.0008793,0.0127754,0.0170574,0.45,-0.2014236,-0.2123003,-0.0091066,-0.0104685,1.22,-0.2080183
1994,4.29,2.6,4778.2,1390.5,2521.4,260660,18331.16,3911.9,15007.67,1.69,9.616317,9.816358,0.0152254,0.0138426,0.0117559,0.0008793,0.02,-0.2000408,-0.2014236,0.0127754,0.0170574,0.45,-0.2123003
1995,5.51,2.8,4945.8,1421.9,2577.0,263034,18802.89,3998.9,15202.98,2.71,9.629247,9.841766,0.0129299,0.0254087,0.0152254,0.0138426,1.69,-0.2125196,-0.2000408,0.0117559,0.0008793,0.02,-0.2014236
