1959,3.41,0.7,401.4,2212.3,2.71,.,..1,..2,..3,..4,..5,..6
1960,2.93,1.7,412.0,2261.7,1.23,10.60001,49.3999,-1.48,-0.48,1.0,0.0260649,0.022084
1961,2.38,1.0,420.9,2309.8,1.38,8.899994,48.1001,0.1500001,-0.55,-0.7,0.0213719,0.0210442
1962,2.78,1.0,440.9,2449.1,1.78,20.0,139.3,0.3999999,0.3999999,0.0,0.0464228,0.0585597
1963,3.16,1.3,459.0,2554.0,1.86,18.10001,104.8999,0.0800002,0.3800001,0.3,0.0402321,0.0419401
1964,3.55,1.3,474.7,2702.9,2.25,15.70001,148.8999,0.3899999,0.3899999,0.0,0.0336328,0.0566645
1965,3.95,1.6,504.8,2874.8,2.35,30.09998,171.9001,0.0999999,0.4000001,0.3000001,0.0614792,0.0616579
1966,4.88,2.9,547.2,3060.2,1.98,42.40002,185.3999,-0.3699999,0.9300001,1.3,0.0806521,0.0624971
1967,4.32,3.1,579.2,3140.2,1.22,32.0,80.0,-0.7599998,-0.5599999,0.1999998,0.0568335,0.0258062
1968,5.34,4.2,606.1,3288.6,1.14,26.89996,148.4001,-0.0799999,1.02,1.1,0.0453971,0.0461755
1969,6.68,5.5,633.3,3388.0,1.18,27.20001,99.3999,0.0399995,1.34,1.3,0.0438993,0.0297778
1970,6.46,5.7,639.0,3388.2,0.7600002,5.700012,0.1999512,-0.4199996,-0.2199998,0.1999998,0.0089602,5.9e-05
1971,4.35,4.4,661.7,3500.1,-0.0500002,22.70001,111.9001,-0.8100004,-2.11,-1.3,0.0349078,0.0324928
1972,4.07,3.2,686.9,3690.3,0.8700001,25.20001,190.2,0.9200003,-0.2799997,-1.2,0.0373765,0.0529162
1973,7.04,6.2,725.9,3902.3,0.8400002,39.0,212.0,-0.03,2.97,3.0,0.0552235,0.0558584
1974,7.89,11.0,749.8,3888.2,-3.11,23.89996,-14.1001,-3.95,0.8499999,4.8,0.0323942,-0.0036198
1975,5.84,9.1,738.8,3865.1,-3.26,-11.0,-23.09985,-0.1500001,-2.05,-1.9,-0.0147793,-0.0059587
1976,4.99,5.8,767.8,4081.1,-0.8100004,29.0,216.0,2.45,-0.8500004,-3.3,0.038502,0.054379
1977,5.27,6.5,805.8,4279.3,-1.23,38.0,198.1997,-0.4199996,0.2800002,0.6999998,0.0483063,0.0474228
1978,7.22,7.6,848.1,4493.7,-0.3800001,42.29999,214.4004,0.8499999,1.95,1.1,0.051163,0.0488871
1979,10.04,11.3,871.2,4624.0,-1.26,23.10004,130.2998,-0.8800001,2.82,3.7,0.0268731,0.0285837
1980,11.51,13.5,861.2,4611.9,-1.99,-10.0,-12.1001,-0.7299995,1.47,2.2,-0.0115448,-0.0026202
1981,14.03,10.3,894.3,4724.9,3.73,33.09998,113.0,5.719999,2.52,-3.2,0.0377145,0.0242065
1982,10.69,6.2,878.7,4623.6,4.49,-15.59998,-101.2998,0.7600002,-3.34,-4.1,-0.0175977,-0.0216727
1983,8.63,3.2,872.8,4810.0,5.43,-5.900024,186.3999,0.9400005,-2.059999,-3.0,-0.0067371,0.0395234
1984,9.58,4.3,947.6,5138.2,5.28,74.79999,328.2002,-0.1500006,0.9499998,1.1,0.082226,0.0660058
1985,7.48,3.6,977.4,5329.5,3.88,29.80005,191.2998,-1.4,-2.1,-0.7000003,0.0309636,0.0365546
1986,5.98,1.9,988.3,5489.9,4.08,10.89996,160.3999,0.1999998,-1.5,-1.7,0.0110903,0.0296526
1987,5.82,3.6,1014.5,5648.4,2.22,26.20001,158.5,-1.86,-0.1599998,1.7,0.0261649,0.0284623
1988,6.69,4.1,1026.2,5862.9,2.59,11.69995,214.5,0.3699999,0.8699999,0.5,0.0114667,0.037272
1989,8.12,4.8,1059.5,6060.4,3.32,33.30005,197.5,0.7299995,1.43,0.7000003,0.0319345,0.0331314
1990,7.51,5.4,1069.9,6138.7,2.11,10.40002,78.30029,-1.21,-0.6099997,0.5999999,0.0097681,0.0128372
1991,5.42,4.2,1066.9,6079.0,1.22,-3.0,-59.7002,-0.8899999,-2.09,-1.2,-0.0028079,-0.0097728
1992,3.45,3.0,1074.2,6244.4,0.45,7.299927,165.3999,-0.7700002,-1.97,-1.2,0.0068189,0.0268448
1993,3.02,3.0,1093.2,6386.4,0.02,19.0,142.0,-0.4300001,-0.4300001,0.0,0.017533,0.0224857
1994,4.29,2.6,1152.1,6608.7,1.69,58.90002,222.3003,1.67,1.27,-0.4000001,0.0524772,0.0342163
1995,5.51,2.8,1185.3,6742.9,2.71,33.20007,134.1997,1.02,1.22,0.2,0.0284096,0.0201031
