1948,3.8,8.1,.,..1,..2,..3,..4,..5,..6,..7
1949,5.9,-1.2,3.8,8.1,.,.,2.1,-9.3,.,.
1950,5.3,1.3,5.9,-1.2,3.8,8.1,-0.5999999,2.5,2.1,-9.3
1951,3.3,7.9,5.3,1.3,5.9,-1.2,-2.0,6.6,-0.5999999,2.5
1952,3.0,1.9,3.3,7.9,5.3,1.3,-0.3,-6.0,-2,6.6
1953,2.9,0.8,3.0,1.9,3.3,7.9,-0.0999999,-1.1,-0.3,-6
1954,5.5,0.7,2.9,0.8,3,1.9,2.6,-0.1,-0.0999999,-1.1
1955,4.4,-0.4,5.5,0.7,2.9,0.8,-1.1,-1.1,2.6,-0.1
1956,4.1,1.5,4.4,-0.4,5.5,0.7,-0.3000002,1.9,-1.1,-1.1
1957,4.3,3.3,4.1,1.5,4.4,-0.4,0.2000003,1.8,-0.3000002,1.9
1958,6.8,2.8,4.3,3.3,4.1,1.5,2.5,-0.5,0.2000003,1.8
1959,5.5,0.7,6.8,2.8,4.3,3.3,-1.3,-2.1,2.5,-0.5
1960,5.5,1.7,5.5,0.7,6.8,2.8,0.0,1.0,-1.3,-2.1
1961,6.7,1.0,5.5,1.7,5.5,0.7,1.2,-0.7,0,1
1962,5.5,1.0,6.7,1.0,5.5,1.7,-1.2,0.0,1.2,-0.7
1963,5.7,1.3,5.5,1.0,6.7,1,0.1999998,0.3,-1.2,0
1964,5.2,1.3,5.7,1.3,5.5,1,-0.5,0.0,0.1999998,0.3
1965,4.5,1.6,5.2,1.3,5.7,1.3,-0.6999998,0.3000001,-0.5,0
1966,3.8,2.9,4.5,1.6,5.2,1.3,-0.7,1.3,-0.6999998,0.3000001
1967,3.8,3.1,3.8,2.9,4.5,1.6,0.0,0.1999998,-0.7,1.3
1968,3.6,4.2,3.8,3.1,3.8,2.9,-0.2,1.1,0,0.1999998
1969,3.5,5.5,3.6,4.2,3.8,3.1,-0.0999999,1.3,-0.2,1.1
1970,4.9,5.7,3.5,5.5,3.6,4.2,1.4,0.1999998,-0.0999999,1.3
1971,5.9,4.4,4.9,5.7,3.5,5.5,1.0,-1.3,1.4,0.1999998
1972,5.6,3.2,5.9,4.4,4.9,5.7,-0.3000002,-1.2,1,-1.3
1973,4.9,6.2,5.6,3.2,5.9,4.4,-0.6999998,3.0,-0.3000002,-1.2
1974,5.6,11.0,4.9,6.2,5.6,3.2,0.6999998,4.8,-0.6999998,3
1975,8.5,9.1,5.6,11.0,4.9,6.2,2.9,-1.9,0.6999998,4.8
1976,7.7,5.8,8.5,9.1,5.6,11,-0.8000002,-3.3,2.9,-1.9
1977,7.1,6.5,7.7,5.8,8.5,9.1,-0.5999999,0.6999998,-0.8000002,-3.3
1978,6.1,7.6,7.1,6.5,7.7,5.8,-1.0,1.1,-0.5999999,0.6999998
1979,5.8,11.3,6.1,7.6,7.1,6.5,-0.2999997,3.7,-1,1.1
1980,7.1,13.5,5.8,11.3,6.1,7.6,1.3,2.2,-0.2999997,3.7
1981,7.6,10.3,7.1,13.5,5.8,11.3,0.5,-3.2,1.3,2.2
1982,9.7,6.2,7.6,10.3,7.1,13.5,2.1,-4.1,0.5,-3.2
1983,9.6,3.2,9.7,6.2,7.6,10.3,-0.0999994,-3.0,2.1,-4.1
1984,7.5,4.3,9.6,3.2,9.7,6.2,-2.1,1.1,-0.0999994,-3
1985,7.2,3.6,7.5,4.3,9.6,3.2,-0.3000002,-0.7000003,-2.1,1.1
1986,7.0,1.9,7.2,3.6,7.5,4.3,-0.1999998,-1.7,-0.3000002,-0.7000003
1987,6.2,3.6,7.0,1.9,7.2,3.6,-0.8000002,1.7,-0.1999998,-1.7
1988,5.5,4.1,6.2,3.6,7,1.9,-0.6999998,0.5,-0.8000002,1.7
1989,5.3,4.8,5.5,4.1,6.2,3.6,-0.1999998,0.7000003,-0.6999998,0.5
1990,5.6,5.4,5.3,4.8,5.5,4.1,0.2999997,0.5999999,-0.1999998,0.7000003
1991,6.8,4.2,5.6,5.4,5.3,4.8,1.2,-1.2,0.2999997,0.5999999
1992,7.5,3.0,6.8,4.2,5.6,5.4,0.6999998,-1.2,1.2,-1.2
1993,6.9,3.0,7.5,3.0,6.8,4.2,-0.5999999,0.0,0.6999998,-1.2
1994,6.1,2.6,6.9,3.0,7.5,3,-0.8000002,-0.4000001,-0.5999999,0
1995,5.6,2.8,6.1,2.6,6.9,3,-0.5,0.2,-0.8000002,-0.4000001
1996,5.4,3.0,5.6,2.8,6.1,2.6,-0.1999998,0.2,-0.5,0.2
